Hotel Name,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
3,Atuona,PF,78.08,-9.8,-139.0333,Villa Enata
9,Port Hedland,AU,82.45,-20.3167,118.5667,The Esplanade Hotel
32,Hilo,US,81.25,19.7297,-155.09,Hilo Hawaiian Hotel
38,Atambua,ID,85.8,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
39,Hithadhoo,MV,83.12,-0.6,73.0833,Scoop Guest House
42,Sao Filipe,CV,79.61,14.8961,-24.4956,Hotel Xaguate
54,Vaini,TO,80.76,-21.2,-175.2,Keleti Beach Resort
58,Bengkulu,ID,77.34,-3.8004,102.2655,Grage Hotel Bengkulu
67,Ixtapa,MX,75.56,20.7,-105.2,Hotel Plaza Providencia
72,Meulaboh,ID,78.93,4.1363,96.1285,Kost Pria
73,Axim,GH,77.97,4.8699,-2.2405,Axim Beach Resort And Spa
75,Mvomero,TZ,80.35,-6.25,38.6667,Kisampa Bush Retreat
86,Marsh Harbour,BS,77.02,26.5412,-77.0636,Abaco Beach Resort
87,Ailigandi,PA,77.5,9.2333,-78.0167,Akwa Reef Lodge
89,Butaritari,KI,82.65,3.0707,172.7902,Isles Sunset Lodge
91,Road Town,VG,81.0,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
92,Cabo San Lucas,MX,81.7,22.8909,-109.9124,Hotel Tesoro Los Cabos
