City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Gladstone,-23.85,151.25,76.78,60,90,13.8,AU,2021-11-02 01:29:36
1,Kapaa,22.0752,-159.319,82.38,78,90,1.01,US,2021-11-02 01:29:37
2,Punta Arenas,-53.15,-70.9167,50.11,62,0,10.36,CL,2021-11-02 01:27:52
3,Vila Franca Do Campo,37.7167,-25.4333,74.19,90,100,5.5,PT,2021-11-02 01:29:38
4,Ambulu,-8.345,113.6058,78.03,89,88,2.48,ID,2021-11-02 01:29:38
5,Saldanha,-33.0117,17.9442,50.05,51,100,3.83,ZA,2021-11-02 01:29:38
6,Vaini,-21.2,-175.2,80.76,89,40,9.22,TO,2021-11-02 01:29:39
7,Puerto Ayora,-0.7393,-90.3518,68.88,88,88,6.6,EC,2021-11-02 01:29:39
8,Tondano,1.3038,124.9112,80.69,60,100,1.5,ID,2021-11-02 01:29:39
9,Nome,64.5011,-165.4064,28.47,86,90,20.71,US,2021-11-02 01:29:40
10,Ushuaia,-54.8,-68.3,51.46,58,0,11.5,AR,2021-11-02 01:25:51
11,Takoradi,4.8845,-1.7554,77.2,91,93,5.84,GH,2021-11-02 01:29:40
12,Henties Bay,-22.116,14.2845,56.86,91,0,10.36,NA,2021-11-02 01:29:41
13,Carnarvon,-24.8667,113.6333,68.07,45,90,17.27,AU,2021-11-02 01:29:41
14,Ponta Do Sol,32.6667,-17.1,70.72,73,65,2.04,PT,2021-11-02 01:29:42
15,Ndola,-12.9587,28.6366,66.11,82,78,3.47,ZM,2021-11-02 01:29:42
16,Mehamn,71.0357,27.8492,41.41,89,100,25.43,NO,2021-11-02 01:29:43
17,Iqaluit,63.7506,-68.5145,24.53,73,75,13.0,CA,2021-11-02 01:29:43
18,Cabo San Lucas,22.8909,-109.9124,80.62,66,4,4.0,MX,2021-11-02 01:29:44
19,Yar-Sale,66.8333,70.8333,18.68,91,100,20.22,RU,2021-11-02 01:29:44
20,New Norfolk,-42.7826,147.0587,70.66,38,58,3.0,AU,2021-11-02 01:29:44
21,Terrace,54.5163,-128.6035,42.71,52,20,18.41,CA,2021-11-02 01:26:44
22,Jamestown,42.097,-79.2353,44.33,61,90,8.05,US,2021-11-02 01:26:14
23,Lucapa,-8.4192,20.7447,64.87,98,100,3.04,AO,2021-11-02 01:29:45
